,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
15,20069546,TRX,TKqUVHFV4ayYZR138m2BiVPktn9XZXLZ7W,,trx,86234915aa247ef2c142489e3d087c4e1db04fee41177fb1e847f0de8d7ba1c1,669.937,0.0,complete,2022-05-06T02:24:09.983293+00:00,,,,,,10003,ftx
16,20069146,TRX,TKqUVHFV4ayYZR138m2BiVPktn9XZXLZ7W,,trx,70e33f720551cef35b87cb6be4e450196e055b82c07748894e1288ddfce2e050,670289.9162,0.0,complete,2022-05-06T02:12:54.245983+00:00,,,,,,10003,ftx
17,20067531,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0x8d51376215de77284bd4b16ee560592b7791431e379c7650e7a30ca14fb41e38,0.44516482,0.0005,complete,2022-05-06T01:20:13.297958+00:00,,GDAC,,,,10003,ftx
18,20006557,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0x8f8d89971f07426c65796bd3f95098ac60a7b8edcf58b5b58360811108e7ed6e,59.51259343,0.0005,complete,2022-05-05T00:23:08.667582+00:00,,GDAC,,,,10003,ftx
19,20006523,BTC,38DHELMPRpYKZ2WBsbSSu2XpL1z6DCuxbA,,btc,5ecc54220831154bf6ee50b0f37fca7215734784cbcc7f76d581f41660eff5a0,0.54782334,0.0,complete,2022-05-05T00:22:09.139016+00:00,,,,,,10003,ftx
20,19951730,ETH,0x65f50dbae9d1d1f494df5c412a2b2841cf8e0a07,,eth,0x0f711d14523998cd3550dd1bf5cc6487f29951aafa538760b71706a5c6900479,34.11366572,0.0005,complete,2022-05-04T01:23:05.975135+00:00,,GDAC,,,,10003,ftx
21,19951684,BTC,38DHELMPRpYKZ2WBsbSSu2XpL1z6DCuxbA,,btc,d76ca6b5602943d4826f3ecb698555ed3966641b0adfa2d55ed467f938a45729,2.87563386,0.0,complete,2022-05-04T01:21:26.671421+00:00,,,,,,10003,ftx
22,19906386,MATIC,0x81251D5047F57Bb6158D39B72aE1bf92FaF26261,,matic,0xbc4ff4b35db6e69fb0c53cc08e4c85505b527dae4bd7db7e1cef2d784aefd82c,12000.0,0.0,complete,2022-05-03T05:34:53.687055+00:00,,,,,,10003,ftx
23,19901551,LUNA,terra1j4u9e5n8xu9c9jykny8uqw6lde6843qczzwd0x,,terra,04BDA193AA62D0B79047EAC70B80106EE78CB9EA4D755C04FC72B5ED924506EE,8.846515,0.0,complete,2022-05-03T02:41:56.414555+00:00,,,,,,10003,ftx
24,19899922,UST,terra1j4u9e5n8xu9c9jykny8uqw6lde6843qczzwd0x,,terra,D86B222DAE699B6BF1A4D0F26A40DA0338D4C2C6517F1F0F152E8E86FC94F435,100000.0,0.0,complete,2022-05-03T01:43:34.389956+00:00,,fotze,,,,10003,ftx
